,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,ac,rain,sun,refill_liters,refill_gas,E10_gas
0,28.0,5.0,26.0,21.5,12.0,unknown,E10,0.0,0.0,0.0,45.0,E10,1
1,12.0,4.2,30.0,21.5,13.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
2,11.2,5.5,38.0,21.5,15.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
3,12.9,3.9,36.0,21.5,14.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
4,18.5,4.5,46.0,21.5,15.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
5,8.3,6.4,50.0,21.5,10.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
6,7.8,4.4,43.0,21.5,11.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
7,12.3,5.0,40.0,21.5,6.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
8,4.9,6.4,26.0,21.5,4.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
9,11.9,5.3,30.0,21.5,9.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
10,12.4,5.6,42.0,21.5,4.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
11,11.8,4.6,38.0,21.5,0.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
12,12.3,5.9,59.0,21.5,10.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
13,24.7,5.1,58.0,21.5,12.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
14,12.4,4.7,46.0,21.5,11.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
15,17.3,5.1,24.0,21.5,5.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
16,33.4,5.6,36.0,21.5,3.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
17,11.8,5.1,32.0,21.5,3.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
18,25.9,4.9,39.0,21.5,8.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
19,11.8,4.7,40.0,21.5,4.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
20,25.3,5.5,32.0,21.5,3.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
21,14.2,5.9,38.0,21.5,1.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
22,17.9,5.7,37.0,21.5,1.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
23,11.8,4.7,36.0,21.5,1.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
24,12.3,5.9,62.0,21.5,6.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
25,12.4,4.1,57.0,21.5,9.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
26,18.4,5.7,21.0,22.5,2.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
27,18.4,5.8,28.0,21.5,3.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
28,18.3,5.5,29.0,21.5,1.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
29,18.4,5.7,35.0,21.5,4.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
30,12.3,5.3,51.0,21.5,11.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
31,11.8,5.0,29.0,21.5,10.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
32,12.3,5.6,58.0,21.5,8.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
33,32.6,4.8,40.0,21.5,7.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
34,19.0,4.3,36.0,21.5,7.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
35,12.1,5.7,36.0,21.5,8.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
36,20.0,5.2,37.0,21.5,4.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
37,4.9,7.4,26.0,21.5,6.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
38,11.8,4.8,23.0,21.5,9.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
39,12.3,6.5,58.0,21.5,7.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
40,12.4,4.0,55.0,21.5,7.0,ac rain,E10,1.0,1.0,0.0,0.0,0,1
41,4.5,5.0,29.0,21.5,7.0,ac,E10,1.0,0.0,0.0,0.0,0,1
42,11.7,4.6,37.0,21.5,6.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
43,10.2,4.3,44.0,21.5,7.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
44,5.4,3.3,32.0,21.5,7.0,unknown,SP98,0.0,0.0,0.0,37.6,SP98,0
45,2.0,9.9,21.0,21.5,4.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
46,14.2,5.1,32.0,21.5,7.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
47,16.0,4.9,25.0,21.5,8.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
48,11.8,4.9,25.0,21.5,11.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
49,27.3,4.7,36.0,21.5,10.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
50,11.8,5.1,29.0,21.5,5.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
51,10.6,4.9,63.0,21.5,6.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
52,11.6,4.2,61.0,21.5,7.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
53,13.1,6.1,46.0,21.5,6.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
54,6.1,6.4,28.0,21.5,8.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
55,153.5,4.9,82.0,21.5,3.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
56,11.8,4.9,24.0,21.5,7.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
57,12.3,6.2,61.0,21.5,8.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
58,12.4,4.2,57.0,21.5,8.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
59,12.3,5.7,52.0,21.5,8.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
60,2.9,7.9,18.0,21.5,9.0,ac rain,SP98,1.0,1.0,0.0,0.0,0,0
61,2.1,12.2,23.0,21.5,9.0,unknown,SP98,1.0,1.0,0.0,0.0,0,0
62,9.8,5.8,24.0,21.5,6.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
63,6.8,5.3,26.0,21.5,6.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
64,12.4,5.4,24.0,21.5,7.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
65,12.4,4.7,57.0,21.5,8.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
66,11.8,4.6,41.0,21.5,6.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
67,12.3,5.4,55.0,21.5,8.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
68,14.0,4.3,40.0,21.5,8.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
69,11.8,4.5,37.0,21.5,4.0,ac,SP98,1.0,0.0,0.0,0.0,0,0
70,12.3,5.2,55.0,21.5,12.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
71,2.0,6.2,20.0,21.5,10.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
72,13.9,5.1,29.0,21.5,6.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
73,9.7,3.9,42.0,21.5,8.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
74,11.6,5.0,25.0,21.5,6.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
75,14.2,5.4,38.0,21.5,7.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
76,11.8,4.5,39.0,21.5,6.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
77,24.8,5.1,50.0,21.5,9.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
78,12.4,4.7,56.0,21.5,7.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
79,34.8,4.0,28.0,20.0,4.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
80,14.2,5.4,36.0,20.0,6.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
81,5.2,4.5,39.0,20.0,10.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
82,10.5,3.6,42.0,20.0,10.0,unknown,SP98,0.0,0.0,0.0,37.7,SP98,0
83,12.3,5.2,57.0,20.0,10.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
84,11.8,4.9,25.0,20.0,11.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
85,12.3,6.2,58.0,20.0,11.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
86,13.2,4.3,51.0,20.0,11.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
87,13.0,5.0,45.0,20.0,11.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
88,12.9,5.1,32.0,20.0,11.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
89,13.9,5.6,22.0,20.0,8.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
90,11.8,4.3,37.0,20.0,6.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
91,12.2,5.8,60.0,20.0,11.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
92,12.5,4.0,51.0,20.0,13.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
93,12.4,4.7,43.0,0.0,10.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
94,11.8,5.9,21.0,20.0,9.0,ac rain,SP98,1.0,1.0,0.0,0.0,0,0
95,11.8,5.3,52.0,0.0,11.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
96,12.5,4.2,57.0,20.0,11.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
97,15.7,5.3,33.0,0.0,9.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
98,12.9,5.7,35.0,0.0,9.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
99,6.4,4.4,37.0,0.0,10.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
100,5.3,4.1,34.0,0.0,9.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
101,26.2,5.8,71.0,21.0,8.0,ac rain,SP98,1.0,1.0,0.0,0.0,0,0
102,18.8,5.0,62.0,0.0,9.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
103,4.9,6.9,25.0,21.0,12.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
104,12.4,5.4,18.0,21.0,11.0,ac rain,SP98,1.0,1.0,0.0,0.0,0,0
105,22.9,5.3,45.0,20.5,7.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
106,162.7,5.5,75.0,23.0,1.0,unknown,SP98,0.0,0.0,0.0,45.0,SP98,0
107,4.9,6.5,26.0,21.0,1.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
108,11.8,4.7,36.0,21.0,4.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
109,16.6,5.1,56.0,21.0,7.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
110,12.4,5.7,37.0,21.0,7.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
111,15.9,5.4,25.0,21.0,7.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
112,5.1,8.7,21.0,23.5,5.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
113,22.4,4.9,66.0,20.5,7.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
114,31.1,4.7,42.0,20.5,7.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
115,4.9,6.3,27.0,20.5,3.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
116,11.8,5.1,26.0,23.0,4.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
117,22.9,6.0,42.0,23.0,4.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
118,12.4,4.6,38.0,23.0,1.0,snow,SP98,0.0,1.0,0.0,0.0,0,0
119,12.9,5.8,40.0,23.0,4.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
120,11.8,5.1,43.0,23.0,0.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
121,12.2,5.8,58.0,23.0,2.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
122,24.8,4.6,55.0,23.0,3.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
123,14.2,5.6,24.0,23.0,8.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
124,11.8,4.6,38.0,23.0,0.0,snow,SP98,0.0,1.0,0.0,0.0,0,0
125,12.2,6.3,57.0,23.0,0.0,snow,SP98,0.0,1.0,0.0,0.0,0,0
126,24.7,5.5,56.0,25.0,1.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
127,6.8,4.3,46.0,24.0,2.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
128,17.3,5.6,37.0,21.5,1.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
129,11.8,4.3,44.0,21.5,-3.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
130,15.9,5.7,46.0,21.5,5.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
131,5.1,6.4,39.0,21.5,4.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
132,16.1,4.5,33.0,21.5,6.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
133,11.8,4.5,43.0,21.5,3.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
134,4.2,6.0,26.0,21.5,5.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
135,17.4,5.1,30.0,21.5,5.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
136,23.5,6.0,25.0,21.5,5.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
137,11.8,4.5,38.0,21.5,5.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
138,12.3,6.1,61.0,21.5,10.0,rain,SP98,0.0,1.0,0.0,0.0,0,0
139,16.1,5.4,24.0,21.5,7.0,rain,E10,0.0,1.0,0.0,38.0,E10,1
140,11.8,4.3,40.0,21.5,10.0,rain,E10,0.0,1.0,0.0,0.0,0,1
141,12.3,5.4,58.0,21.5,13.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
142,12.4,4.3,49.0,21.5,17.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
143,7.0,5.2,25.0,21.5,17.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
144,11.8,4.1,37.0,21.5,10.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
145,20.1,4.4,41.0,21.5,18.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
146,20.8,4.5,45.0,21.5,10.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
147,1.7,10.8,14.0,21.5,10.0,rain,E10,0.0,1.0,0.0,0.0,0,1
148,35.9,4.7,45.0,21.5,12.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
149,36.9,4.8,52.0,21.5,5.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
150,16.8,4.0,46.0,21.5,8.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
151,9.9,5.0,28.0,21.5,9.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
152,22.9,4.6,61.0,21.5,7.0,rain,E10,0.0,1.0,0.0,0.0,0,1
153,17.3,5.0,61.0,21.5,6.0,ac rain,E10,1.0,1.0,0.0,0.0,0,1
154,11.8,4.3,37.0,21.5,7.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
155,36.6,5.2,80.0,21.5,7.0,rain,E10,0.0,1.0,0.0,0.0,0,1
156,44.9,4.7,62.0,21.5,8.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
157,11.8,4.2,34.0,21.5,9.0,rain,E10,0.0,1.0,0.0,0.0,0,1
158,21.6,5.3,44.0,21.5,9.0,rain,E10,0.0,1.0,0.0,0.0,0,1
159,39.4,5.3,60.0,21.5,9.0,rain,E10,0.0,1.0,0.0,0.0,0,1
160,5.1,8.1,39.0,21.5,4.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
161,26.6,4.8,38.0,21.5,7.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
162,53.2,5.1,71.0,21.5,2.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
163,18.9,4.4,53.0,21.5,2.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
164,43.5,5.0,80.0,21.5,3.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
165,6.1,6.3,26.0,21.5,5.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
166,16.4,4.8,49.0,21.5,5.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
167,12.3,6.1,40.0,21.5,6.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
168,21.1,4.6,36.0,21.5,8.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
169,21.1,4.8,43.0,21.5,7.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
170,22.7,4.7,55.0,21.5,6.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
171,44.4,4.8,38.0,21.5,8.0,unknown,E10,0.0,0.0,0.0,38.3,E10,1
172,35.8,4.4,51.0,21.5,6.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
173,11.8,4.9,44.0,21.5,0.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
174,26.2,4.9,42.0,21.5,6.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
175,40.6,4.4,44.0,21.0,3.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
176,12.4,5.3,38.0,21.0,-5.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
177,14.1,5.3,47.0,21.0,-3.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
178,58.7,4.8,75.0,21.0,0.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
179,16.2,5.2,29.0,21.0,0.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
180,12.3,4.9,50.0,22.5,0.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
181,12.3,7.1,52.0,22.5,0.0,ac snow,E10,1.0,1.0,0.0,0.0,0,1
182,12.4,5.2,51.0,22.5,1.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
183,31.8,4.7,59.0,22.5,3.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
184,12.3,5.1,55.0,22.5,8.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
185,51.6,5.0,73.0,22.5,12.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
186,38.6,4.6,44.0,22.5,10.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
187,12.3,4.8,41.0,22.5,7.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
188,81.2,4.4,69.0,22.0,13.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
189,130.3,4.6,85.0,22.0,12.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
190,67.2,4.3,67.0,22.0,18.0,unknown,E10,0.0,0.0,0.0,0.0,0,1
191,43.7,4.7,44.0,22.0,9.0,half rain half sun,SP98,0.0,1.0,0.0,10.0,SP98,0
192,12.1,4.2,43.0,22.0,4.0,unknown,SP98,0.0,0.0,0.0,39.0,SP98,0
193,56.1,4.8,82.0,22.0,13.0,unknown,SP98,0.0,0.0,0.0,0.0,0,0
